"Отметка времени","Выберите наиболее волнующую вас проблему.","Почему эта проблема волнует вас?","Как вы видете решение проблемы?","Какой результат вы хотите увидеть?"
"2022/04/11 1:59:55 PM GMT+3","Нерациональная трата времени","не хватает времени ","не знаю","не знаю"
"2022/04/11 2:01:34 PM GMT+3","Проблема сортировки мусора","Наша планета загрязнается из за нашего мусора","Перерабатывать мусор и использовать разлагаемые продукты","Чистую планету без мусора, где человек не вредит животным и растениям."
"2022/04/11 2:02:39 PM GMT+3","Проблема сортировки мусора","Потому что наша планета загрязнённая и это нужно решать","Создать сайт,где будут написаны предложения решения проблем ","Образованные люди,знающие что нужно делать с отходами"
"2022/04/11 2:02:54 PM GMT+3","Бессмысленная трата денег","не хочу тратить деньги бессмысленно","жду решение от Вас","чудо средство"
"2022/04/11 2:03:22 PM GMT+3","Нерациональная трата времени","Потому что, надо правильно использовать этот ресурс","Правильно составлять график дня и расписание ","Чтобы время было использовано правильно и во благо "
"2022/04/11 2:06:05 PM GMT+3","Бессмысленная трата денег","Так как из-за бессмысленной траты денег, иногда не хватает на действительно важные и нужные вещи, по типу учёбы в автошколе.","Меньше бессмысленной траты денег на не нужные вещи или на вещи которые не так нужны(покупку, которых можно отложить на будущее).","На сэкономленные деньги начать учебы в автошколе и сдать на права."
"2022/04/11 2:06:07 PM GMT+3","Нерациональная трата времени","Потому что ты не знаешь когда твоя жизнь оборвётся и умирать осознавая ,что всю жизнь ты тратил время на вещи ,которые тебя не интересуют -действительно страшно.","Необходимо научиться расставлять приоритеты ,делать и тратить своё время на вещи интересующие тебя.","Полученные навыки в сферах которые меня интересуют ,чтобы потраченное время было попросту потрачено не на фигню."
"2022/04/11 2:06:27 PM GMT+3","Нерациональная трата времени","Нерациональная трата времени значительно ухудшает качество жизни","Тайм менеджмент","Повышенная продуктивность "
"2022/04/11 2:20:46 PM GMT+3","Бессмысленная трата денег","потому что я сама бессмысленно трачу деньги","перестать бессмысленно тратить деньги","уменьшение затрат "
"2022/04/11 2:35:14 PM GMT+3","Нерациональная трата времени","Жизнь коротка. Не стоит тратить ее на ничто.","Найти хобби и развить дисциплину.","Трата времени не зря."
"2022/04/11 4:48:57 PM GMT+3","Бессмысленная трата денег","У меня нет денег","Не кушать ","Деньги в кошельке "